Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Proj,StDev
RB,Chase Brown (28792359),Chase Brown,28792359,RB/FLEX,4700,CIN@CLE 09/10/2023 01:00PM ET,CIN,0,2.445,4.73
TE,Evan Engram (28793259),Evan Engram,28793259,TE/FLEX,4700,JAX@IND 09/10/2023 01:00PM ET,JAX,11.23,9.909,7.445
QB,Will Levis (28792214),Will Levis,28792214,QB,4700,TEN@NO 09/10/2023 01:00PM ET,TEN,0,0,0
QB,Trey Lance (28792213),Trey Lance,28792213,QB,4700,SF@PIT 09/10/2023 01:00PM ET,SF,6.73,0,0
RB,Jordan Mason (28792357),Jordan Mason,28792357,RB/FLEX,4700,SF@PIT 09/10/2023 01:00PM ET,SF,1.74,0.054,0.09
QB,Jarrett Stidham (28792212),Jarrett Stidham,28792212,QB,4700,LV@DEN 09/10/2023 04:25PM ET,DEN,9.93,0,0
QB,Marcus Mariota (28792211),Marcus Mariota,28792211,QB,4700,PHI@NE 09/10/2023 04:25PM ET,PHI,16.04,0,0
WR,Van Jefferson (28792687),Van Jefferson,28792687,WR/FLEX,4700,LAR@SEA 09/10/2023 04:25PM ET,LAR,7.17,8.152,7.75
QB,Joshua Dobbs (28792221),Joshua Dobbs,28792221,QB,4600,ARI@WAS 09/10/2023 01:00PM ET,ARI,12.42,10.25,6.245
QB,Andy Dalton (28792223),Andy Dalton,28792223,QB,4600,CAR@ATL 09/10/2023 01:00PM ET,CAR,13.37,0,0
WR,Adam Thielen (28792693),Adam Thielen,28792693,WR/FLEX,4600,CAR@ATL 09/10/2023 01:00PM ET,CAR,10.44,8.646,6.73
QB,Davis Mills (28792222),Davis Mills,28792222,QB,4600,HOU@BAL 09/10/2023 01:00PM ET,HOU,13.7,0,0
RB,Melvin Gordon III (28792371),Melvin Gordon III,28792371,RB/FLEX,4600,HOU@BAL 09/10/2023 01:00PM ET,BAL,8.91,0,0
TE,Dalton Schultz (28793261),Dalton Schultz,28793261,TE/FLEX,4600,HOU@BAL 09/10/2023 01:00PM ET,HOU,10.94,9.327,6.9
QB,Kyle Trask (28792220),Kyle Trask,28792220,QB,4600,TB@MIN 09/10/2023 01:00PM ET,TB,0.92,0,0
RB,Ty Chandler (28792369),Ty Chandler,28792369,RB/FLEX,4600,TB@MIN 09/10/2023 01:00PM ET,MIN,0.67,3.1,4.225
QB,Sam Darnold (28792218),Sam Darnold,28792218,QB,4600,SF@PIT 09/10/2023 01:00PM ET,SF,15.72,0,0
QB,Mitch Trubisky (28792219),Mitch Trubisky,28792219,QB,4600,SF@PIT 09/10/2023 01:00PM ET,PIT,11.27,0,0
RB,Jaylen Warren (28792367),Jaylen Warren,28792367,RB/FLEX,4600,SF@PIT 09/10/2023 01:00PM ET,PIT,5.83,7.528,5.7
RB,Keaontay Ingram (28792365),Keaontay Ingram,28792365,RB/FLEX,4600,ARI@WAS 09/10/2023 01:00PM ET,ARI,1.51,4.649,5.33
WR,Hunter Renfrow (28792691),Hunter Renfrow,28792691,WR/FLEX,4600,LV@DEN 09/10/2023 04:25PM ET,LV,8,7.271,6.03
QB,Easton Stick (28792216),Easton Stick,28792216,QB,4600,MIA@LAC 09/10/2023 04:25PM ET,LAC,0,0,0
QB,Mike White (28792217),Mike White,28792217,QB,4600,MIA@LAC 09/10/2023 04:25PM ET,MIA,16.9,0,0
RB,Isaiah Spiller (28792363),Isaiah Spiller,28792363,RB/FLEX,4600,MIA@LAC 09/10/2023 04:25PM ET,LAC,1.4,0.563,0.405
RB,Tony Jones Jr. (28792373),Tony Jones Jr.,28792373,RB/FLEX,4500,TEN@NO 09/10/2023 01:00PM ET,NO,1.73,1.008,3.395
TE,Kyle Pitts (28793263),Kyle Pitts,28793263,TE/FLEX,4500,CAR@ATL 09/10/2023 01:00PM ET,ATL,7.56,7.77,7.08
RB,Gus Edwards (28792379),Gus Edwards,28792379,RB/FLEX,4500,HOU@BAL 09/10/2023 01:00PM ET,BAL,6.65,6.383,6.975
WR,Zay Jones (28792697),Zay Jones,28792697,WR/FLEX,4500,JAX@IND 09/10/2023 01:00PM ET,JAX,13.27,9.912,7.935
RB,Corey Clement (28792377),Corey Clement,28792377,RB/FLEX,4500,ARI@WAS 09/10/2023 01:00PM ET,ARI,2.43,0.3,0
RB,Roschon Johnson (28792375),Roschon Johnson,28792375,RB/FLEX,4500,GB@CHI 09/10/2023 04:25PM ET,CHI,0,3.642,4.685
WR,Darnell Mooney (28792695),Darnell Mooney,28792695,WR/FLEX,4500,GB@CHI 09/10/2023 04:25PM ET,CHI,8.46,8.132,8.235
QB,Bailey Zappe (28792224),Bailey Zappe,28792224,QB,4500,PHI@NE 09/10/2023 04:25PM ET,NE,12.16,0.04,0
QB,Nick Mullens (28792225),Nick Mullens,28792225,QB,4400,TB@MIN 09/10/2023 01:00PM ET,MIN,3.19,0,0
RB,Hassan Haskins (28792383),Hassan Haskins,28792383,RB/FLEX,4400,TEN@NO 09/10/2023 01:00PM ET,TEN,1.73,0,0
WR,Romeo Doubs (28792703),Romeo Doubs,28792703,WR/FLEX,4400,GB@CHI 09/10/2023 04:25PM ET,GB,7.89,9.703,7.96
TE,Cole Kmet (28793265),Cole Kmet,28793265,TE/FLEX,4400,GB@CHI 09/10/2023 04:25PM ET,CHI,8.66,6.837,7.16
WR,Quentin Johnston (28792701),Quentin Johnston,28792701,WR/FLEX,4400,MIA@LAC 09/10/2023 04:25PM ET,LAC,0,2.949,3.15
RB,Boston Scott (28792381),Boston Scott,28792381,RB/FLEX,4400,PHI@NE 09/10/2023 04:25PM ET,PHI,3.68,0.362,0.27
WR,Ty Montgomery II (28792699),Ty Montgomery II,28792699,WR/FLEX,4400,PHI@NE 09/10/2023 04:25PM ET,NE,10.3,0,0
RB,Chris Evans (28792389),Chris Evans,28792389,RB/FLEX,4300,CIN@CLE 09/10/2023 01:00PM ET,CIN,1.07,2.552,3.76
WR,Donovan Peoples-Jones (28792707),Donovan Peoples-Jones,28792707,WR/FLEX,4300,CIN@CLE 09/10/2023 01:00PM ET,CLE,10.06,7.359,7.33
RB,Sean Tucker (28792387),Sean Tucker,28792387,RB/FLEX,4300,TB@MIN 09/10/2023 01:00PM ET,TB,0,0,0
WR,K.J. Osborn (28792705),K.J. Osborn,28792705,WR/FLEX,4300,TB@MIN 09/10/2023 01:00PM ET,MIN,9.53,7.709,6.885
RB,Kendre Miller (28792385),Kendre Miller,28792385,RB/FLEX,4300,TEN@NO 09/10/2023 01:00PM ET,NO,0,4.77,2.1
TE,Gerald Everett (28793267),Gerald Everett,28793267,TE/FLEX,4300,MIA@LAC 09/10/2023 04:25PM ET,LAC,9.73,8.184,6.925
RB,Pierre Strong Jr. (28792393),Pierre Strong Jr.,28792393,RB/FLEX,4200,CIN@CLE 09/10/2023 01:00PM ET,CLE,1.81,1.667,3.35
RB,Jerome Ford (28792403),Jerome Ford,28792403,RB/FLEX,4200,CIN@CLE 09/10/2023 01:00PM ET,CLE,0.09,4.687,3.96
TE,David Njoku (28793269),David Njoku,28793269,TE/FLEX,4200,CIN@CLE 09/10/2023 01:00PM ET,CLE,10.21,9.018,7.29
QB,C.J. Beathard (28792227),C.J. Beathard,28792227,QB,4200,JAX@IND 09/10/2023 01:00PM ET,JAX,0,0,0
RB,JaMycal Hasty (28792399),JaMycal Hasty,28792399,RB/FLEX,4200,JAX@IND 09/10/2023 01:00PM ET,JAX,3.96,0.669,3.745
RB,Zack Moss (28792401),Zack Moss,28792401,RB/FLEX,4200,JAX@IND 09/10/2023 01:00PM ET,IND,5.27,5.4,2.5
RB,Ke'Shawn Vaughn (28792395),Ke'Shawn Vaughn,28792395,RB/FLEX,4200,TB@MIN 09/10/2023 01:00PM ET,TB,0.64,1.038,0.03
RB,Chase Edmonds (28792397),Chase Edmonds,28792397,RB/FLEX,4200,TB@MIN 09/10/2023 01:00PM ET,TB,5.71,5.141,5.05
WR,Curtis Samuel (28792709),Curtis Samuel,28792709,WR/FLEX,4200,ARI@WAS 09/10/2023 01:00PM ET,WAS,10.43,9.001,7.145
WR,Rondale Moore (28792711),Rondale Moore,28792711,WR/FLEX,4200,ARI@WAS 09/10/2023 01:00PM ET,ARI,10.99,8.88,6.93
RB,Kenneth Gainwell (28792391),Kenneth Gainwell,28792391,RB/FLEX,4200,PHI@NE 09/10/2023 04:25PM ET,PHI,6.38,5.785,5.785
QB,Drew Lock (28792226),Drew Lock,28792226,QB,4200,LAR@SEA 09/10/2023 04:25PM ET,SEA,0,0,0
WR,Tyler Boyd (28792715),Tyler Boyd,28792715,WR/FLEX,4100,CIN@CLE 09/10/2023 01:00PM ET,CIN,9.9,9.772,7.295
RB,Deon Jackson (28792411),Deon Jackson,28792411,RB/FLEX,4100,JAX@IND 09/10/2023 01:00PM ET,IND,5.34,8.198,6.675
TE,Pat Freiermuth (28793271),Pat Freiermuth,28793271,TE/FLEX,4100,SF@PIT 09/10/2023 01:00PM ET,PIT,9.26,8.612,6.47
RB,Ameer Abdullah (28792409),Ameer Abdullah,28792409,RB/FLEX,4100,LV@DEN 09/10/2023 04:25PM ET,LV,3.18,1.476,2.255
WR,DeVante Parker (28792713),DeVante Parker,28792713,WR/FLEX,4100,PHI@NE 09/10/2023 04:25PM ET,NE,8.15,8.747,7.96
RB,DeeJay Dallas (28792405),DeeJay Dallas,28792405,RB/FLEX,4100,LAR@SEA 09/10/2023 04:25PM ET,SEA,3.03,0.789,0.415
RB,Kyren Williams (28792407),Kyren Williams,28792407,RB/FLEX,4100,LAR@SEA 09/10/2023 04:25PM ET,LAR,3.05,4.145,5.065
QB,Matt Corral (28792266),Matt Corral,28792266,QB,4000,PHI@NE 09/10/2023 04:25PM ET,NE,0,0,0
RB,Larry Rountree III (28792429),Larry Rountree III,28792429,RB/FLEX,4000,HOU@BAL 09/10/2023 01:00PM ET,HOU,1.06,0,0
RB,Zander Horvath (28792435),Zander Horvath,28792435,RB/FLEX,4000,SF@PIT 09/10/2023 01:00PM ET,PIT,1.16,0.18,0
RB,Qadree Ollison (28792541),Qadree Ollison,28792541,RB/FLEX,4000,SF@PIT 09/10/2023 01:00PM ET,PIT,0,0,0
RB,Demetric Felton (28792549),Demetric Felton,28792549,RB/FLEX,4000,CIN@CLE 09/10/2023 01:00PM ET,CIN,0.3,0.12,0
QB,Logan Woodside (28792267),Logan Woodside,28792267,QB,4000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0,0,0
QB,Austin Aune (28792268),Austin Aune,28792268,QB,4000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0,0,0
RB,Raheem Blackshear (28792585),Raheem Blackshear,28792585,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,CAR,3.38,1.645,2.945
RB,Spencer Brown (28792587),Spencer Brown,28792587,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,CAR,3.65,0,0
RB,Camerun Peoples (28792589),Camerun Peoples,28792589,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0,0,0
RB,Tiyon Evans (28792591),Tiyon Evans,28792591,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0,0,0
RB,Carlos Washington Jr. (28792593),Carlos Washington Jr.,28792593,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0,0,0
RB,Avery Williams (28792595),Avery Williams,28792595,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,ATL,2.06,0.2,0
RB,Clint Ratkovich (28792597),Clint Ratkovich,28792597,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0,0,0
RB,B.J. Baylor (28792599),B.J. Baylor,28792599,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0,0,0
RB,Keith Smith (28792601),Keith Smith,28792601,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0.12,0.06,0
QB,Jake Luton (29001014),Jake Luton,29001014,QB,4000,CAR@ATL 09/10/2023 01:00PM ET,CAR,0,0,0
RB,Godwin Igwebuike (29001018),Godwin Igwebuike,29001018,RB/FLEX,4000,CAR@ATL 09/10/2023 01:00PM ET,ATL,0.28,0,0
QB,Josh Johnson (28792263),Josh Johnson,28792263,QB,4000,HOU@BAL 09/10/2023 01:00PM ET,BAL,0.95,0,0
